star,rwy,star_id,first_ident,route
GR04V_1 (EDMUS),28,GR04V,EDMUS,"[(-45.385866666666665, -23.189227777777777), (-45.555924999999995, -23.226899999999997), (-45.90663055555555, -23.32353611111111), (-45.986247222222225, -23.345502777777778), (-46.015616666666666, -23.257544444444445), (-46.07309166666667, -23.182361111111113), (-46.15439444444444, -23.143722222222223), (-46.24209722222222, -23.301225000000002)]"
GR04H_1 (ZARES),10,GR04H,ZARES,"[(-47.954616666666666, -22.76633888888889), (-47.80662777777778, -22.8638), (-47.687675, -22.939930555555556), (-47.371944444444445, -23.141225), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.73249722222222, -22.812930555555557), (-46.62855277777778, -22.784533333333336), (-46.5204, -22.77850833333333), (-46.41354444444444, -22.795150000000003), (-46.342311111111115, -22.845233333333333), (-46.549752777777776, -23.208425), (-46.58947222222223, -23.26441388888889), (-46.70495833333334, -23.426905555555557)]"
GR04U,10,GR04U,VUNOX,"[(-46.21324166666667, -22.31790277777778), (-46.24829722222222, -22.544133333333335), (-46.28542222222222, -22.782855555555553), (-46.549752777777776, -23.208425), (-46.58947222222223, -23.26441388888889), (-46.70495833333334, -23.426905555555557)]"
GR03T_1 (ZARES),10,GR03T,ZARES,"[(-47.954616666666666, -22.76633888888889), (-47.80662777777778, -22.8638), (-47.687675, -22.939930555555556), (-47.371944444444445, -23.141225), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.549752777777776, -23.208425), (-46.58947222222223, -23.26441388888889), (-46.70495833333334, -23.426905555555557)]"
GR04V_2 (VUNOX),28,GR04V,VUNOX,"[(-46.21324166666667, -22.31790277777778), (-46.24829722222222, -22.544133333333335), (-46.28542222222222, -22.782855555555553), (-46.549752777777776, -23.208425), (-46.44343333333333, -23.268755555555554), (-46.30651666666667, -23.270563888888887), (-46.24209722222222, -23.301225000000002)]"
GR03T_2 (BUXUK),10,GR03T,BUXUK,"[(-47.815869444444445, -23.763908333333333), (-47.73306388888889, -23.62205277777778), (-47.62578333333333, -23.53185), (-47.436611111111105, -23.372558333333334), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.549752777777776, -23.208425), (-46.58947222222223, -23.26441388888889), (-46.70495833333334, -23.426905555555557)]"
GR04H_2 (BUXUK),10,GR04H,BUXUK,"[(-47.815869444444445, -23.763908333333333), (-47.73306388888889, -23.62205277777778), (-47.62578333333333, -23.53185), (-47.436611111111105, -23.372558333333334), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.73249722222222, -22.812930555555557), (-46.62855277777778, -22.784533333333336), (-46.5204, -22.77850833333333), (-46.41354444444444, -22.795150000000003), (-46.342311111111115, -22.845233333333333), (-46.549752777777776, -23.208425), (-46.58947222222223, -23.26441388888889), (-46.70495833333334, -23.426905555555557)]"
GR04J,28,GR04J,VUNOX,"[(-46.21324166666667, -22.31790277777778), (-46.24829722222222, -22.544133333333335), (-46.28542222222222, -22.782855555555553), (-46.34781666666667, -22.877266666666667), (-46.433025, -22.842174999999997), (-46.53626666666666, -22.826775), (-46.62631944444445, -22.833205555555555), (-46.71920277777778, -22.860269444444445), (-46.811386111111105, -22.913149999999998), (-46.549752777777776, -23.208425), (-46.44343333333333, -23.268755555555554), (-46.30651666666667, -23.270563888888887), (-46.24209722222222, -23.301225000000002)]"
GR04K,10,GR04K,VUNOX,"[(-46.21324166666667, -22.31790277777778), (-46.24829722222222, -22.544133333333335), (-46.28542222222222, -22.782855555555553), (-46.34781666666667, -22.877266666666667), (-46.433025, -22.842174999999997), (-46.53626666666666, -22.826775), (-46.62631944444445, -22.833205555555555), (-46.71920277777778, -22.860269444444445), (-46.811386111111105, -22.913149999999998), (-46.549752777777776, -23.208425), (-46.58947222222223, -23.26441388888889), (-46.70495833333334, -23.426905555555557)]"
GR04I_1 (ZARES),28,GR04I,ZARES,"[(-47.954616666666666, -22.76633888888889), (-47.80662777777778, -22.8638), (-47.687675, -22.939930555555556), (-47.371944444444445, -23.141225), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.73249722222222, -22.812930555555557), (-46.62855277777778, -22.784533333333336), (-46.5204, -22.77850833333333), (-46.41354444444444, -22.795150000000003), (-46.30564444444444, -22.84013333333333), (-46.549752777777776, -23.208425), (-46.44343333333333, -23.268755555555554), (-46.30651666666667, -23.270563888888887), (-46.24209722222222, -23.301225000000002)]"
GR04G,10,GR04G,EDMUS,"[(-45.385866666666665, -23.189227777777777), (-45.555924999999995, -23.226899999999997), (-45.90663055555555, -23.32353611111111), (-46.30540277777777, -23.436086111111113), (-46.46822777777778, -23.337788888888888), (-46.58947222222223, -23.26441388888889), (-46.69126111111111, -23.232955555555552), (-46.79805555555556, -23.252591666666667), (-46.88087222222222, -23.320133333333334), (-46.70495833333334, -23.426905555555557)]"
GR03U_1 (ZARES),28,GR03U,ZARES,"[(-47.954616666666666, -22.76633888888889), (-47.80662777777778, -22.8638), (-47.687675, -22.939930555555556), (-47.371944444444445, -23.141225), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.549752777777776, -23.208425), (-46.44343333333333, -23.268755555555554), (-46.30651666666667, -23.270563888888887), (-46.24209722222222, -23.301225000000002)]"
GR03U_2 (BUXUK),28,GR03U,BUXUK,"[(-47.815869444444445, -23.763908333333333), (-47.73306388888889, -23.62205277777778), (-47.62578333333333, -23.53185), (-47.436611111111105, -23.372558333333334), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.549752777777776, -23.208425), (-46.44343333333333, -23.268755555555554), (-46.30651666666667, -23.270563888888887), (-46.24209722222222, -23.301225000000002)]"
GR04I_2 (BUXUK),28,GR04I,BUXUK,"[(-47.815869444444445, -23.763908333333333), (-47.73306388888889, -23.62205277777778), (-47.62578333333333, -23.53185), (-47.436611111111105, -23.372558333333334), (-47.252563888888886, -23.21704722222222), (-47.081450000000004, -23.071994444444446), (-46.980291666666666, -22.986025), (-46.84182222222223, -22.868088888888888), (-46.73249722222222, -22.812930555555557), (-46.62855277777778, -22.784533333333336), (-46.5204, -22.77850833333333), (-46.41354444444444, -22.795150000000003), (-46.30564444444444, -22.84013333333333), (-46.549752777777776, -23.208425), (-46.44343333333333, -23.268755555555554), (-46.30651666666667, -23.270563888888887), (-46.24209722222222, -23.301225000000002)]"
